주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,58929,60729,65973,,16394,15703,17778,17766,18681,
영업이익,2048,3065,4357,5250,1480,1207,112,1729,1060,
당기순이익,1873,2128,3160,4070,1161,850,64,1275,699,
영업이익률,3.48,5.05,6.60,,9.03,7.68,0.63,9.73,5.67,
순이익률,3.18,3.50,4.79,,7.08,5.41,0.36,7.18,3.74,
ROE(지배주주),8.22,6.68,10.36,,9.54,10.76,11.25,12.65,11.18,
부채비율,431.49,441.44,571.64,,526.23,561.93,571.64,644.07,667.82,
당좌비율,,,,,,,,,,
유보율,317.70,332.51,282.39,,281.59,283.23,282.39,265.57,248.83,
EPS(원),1753,1598,2217,,790,563,120,862,453,
PER(배),2.66,2.53,1.82,,2.63,2.30,1.82,1.70,2.88,
BPS(원),20291,20904,18660,,18528,18624,18660,17844,17498,
PBR(배),0.23,0.19,0.22,,0.27,0.27,0.22,0.22,0.33,
주당배당금(원),,200,,-,-,-,,,,
시가배당률(%),,4.94,,,-,-,,,,
배당성향(%),-,14.81,-,,,,,,,
