주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.03,2024.06,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,1028,1220,1444,1661,350,373,406,363,
영업이익,55,148,123,137,36,27,43,28,
당기순이익,36,90,103,96,46,1,14,1,
영업이익률,5.34,12.10,8.50,8.27,10.17,7.28,10.57,7.81,
순이익률,3.46,7.39,7.13,5.75,13.05,0.23,3.33,0.26,
ROE(지배주주),15.01,28.37,46.18,70.58,,,,,
부채비율,333.81,217.36,2121.27,,,,148.19,168.56,
당좌비율,56.05,54.66,34.82,,,,62.09,62.16,
유보율,544.61,876.04,824.70,,,,1433.69,1436.33,
EPS(원),148,348,386,266,171,3,50,3,
PER(배),,,,46.98,,,,,
BPS(원),1065,1419,252,463,,,2124,2047,
PBR(배),-,-,-,27.04,,,,,
주당배당금(원),,,,,,,,,
시가배당률(%),,,,,,,,,
배당성향(%),-,-,-,,-,-,-,,
