주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,9381,9546,10572,,2615,2538,2973,2711,2940,
영업이익,1199,1449,1648,,323,195,786,425,417,
당기순이익,1146,1213,1361,,435,236,355,317,249,
영업이익률,12.79,15.18,15.59,,12.35,7.69,26.44,15.69,14.18,
순이익률,12.21,12.71,12.88,,16.65,9.29,11.94,11.68,8.48,
ROE(지배주주),17.66,14.85,14.00,,14.73,15.28,14.00,13.76,11.24,
부채비율,27.99,26.56,32.00,,25.22,33.80,32.00,33.42,29.24,
당좌비율,183.05,182.64,191.34,,181.71,184.30,191.34,178.51,196.77,
유보율,31135.91,36041.96,40964.87,,38306.95,39541.51,40964.87,41224.93,42932.74,
EPS(원),5114,4990,5456,,1767,932,1467,1258,962,
PER(배),5.75,4.30,3.78,,4.45,4.05,3.78,3.82,5.56,
BPS(원),31261,35985,42011,,38557,40390,42011,42304,43667,
PBR(배),0.94,0.60,0.49,,0.61,0.57,0.49,0.49,0.59,
주당배당금(원),700,800,1000,,,,1000,,,
시가배당률(%),2.38,3.73,4.84,,,,4.84,,,
배당성향(%),13.68,16.02,18.32,,,,68.14,,,
