주요재무정보,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2024.12,2025.12(E),2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,9104,,4541,4563,4545,3879,
영업이익,173,,95,78,96,108,
당기순이익,24,,5,18,-4,59,
영업이익률,1.90,,2.08,1.71,2.10,2.78,
순이익률,0.26,,0.12,0.40,-0.09,1.52,
ROE(지배주주),,,,,,,
부채비율,106.65,,111.67,106.65,109.75,97.00,
당좌비율,59.15,,60.66,59.15,63.17,67.01,
유보율,2362.90,,2269.83,2362.90,2360.15,2388.90,
EPS(원),1181,,109,485,-116,1510,
PER(배),25.28,,,,,35.47,
BPS(원),148012,,127017,148012,147595,143158,
PBR(배),0.20,,0.33,0.20,0.27,0.49,
주당배당금(원),-,,,-,,,
시가배당률(%),-,,,-,,,
배당성향(%),-,,,-,,,
